City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Vestmannaeyjar,IS,63.4427,-20.2734,41.72,62,76,26.19,broken clouds
165,Zelenoborskiy,RU,66.845,32.3622,33.31,99,100,7.54,snow
166,Bud,US,39.447,-86.1758,57.74,96,100,11.34,overcast clouds
167,Salinas,US,36.6777,-121.6555,79.0,54,0,11.5,clear sky
168,Tambura,SS,5.6,27.4667,72.59,80,99,1.1,overcast clouds
169,Walvis Bay,NA,-22.9575,14.5053,65.35,68,0,5.75,clear sky
170,Dallas,US,32.7668,-96.7836,78.69,65,20,19.57,few clouds
171,Guerrero Negro,MX,27.9769,-114.0611,70.54,59,3,16.51,clear sky
172,Amahai,ID,-3.3333,128.9167,79.11,86,99,3.49,overcast clouds
173,Hamilton,US,39.1834,-84.5333,61.43,89,100,8.05,moderate rain
174,Korem,ET,12.5058,39.5228,59.22,39,10,2.77,clear sky
175,Sinaloa,MX,25.0,-107.5,91.11,44,0,7.0,clear sky
176,Banfora,BF,10.6333,-4.7667,88.0,44,60,3.67,broken clouds
177,Avarua,CK,-21.2078,-159.775,82.45,74,40,5.75,scattered clouds
178,Hambantota,LK,6.1241,81.1185,80.94,82,97,16.33,overcast clouds
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.28,83,60,3.6,broken clouds
180,San Francisco,US,37.7749,-122.4194,75.47,58,100,12.66,overcast clouds
181,Thunder Bay,CA,48.4001,-89.3168,51.78,43,20,12.66,few clouds
182,Waddan,LY,29.1614,16.139,78.82,13,2,19.77,clear sky
183,Klaksvik,FO,62.2266,-6.589,47.32,96,100,20.24,light rain
184,Payo,ID,-3.7508,103.6372,72.41,98,74,1.99,broken clouds
185,Pisco,PE,-13.7,-76.2167,68.05,77,0,19.57,clear sky
186,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,81,100,13.82,overcast clouds
187,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,20,17.27,few clouds
188,Longyearbyen,SJ,78.2186,15.6401,22.84,80,75,3.44,broken clouds
189,Ketchikan,US,55.3422,-131.6461,50.47,57,40,3.44,scattered clouds
190,Hasaki,JP,35.7333,140.8333,66.29,72,100,9.26,overcast clouds
191,Juba,SS,4.8517,31.5825,76.5,67,44,4.43,scattered clouds
192,San Quintin,MX,30.4833,-115.95,67.89,68,1,15.48,clear sky
193,Tasiilaq,GL,65.6145,-37.6368,26.76,76,48,3.87,scattered clouds
194,Thyboron,DK,56.6985,8.2124,46.09,84,71,14.05,broken clouds
195,Ulaangom,MN,49.9811,92.0667,42.42,31,100,1.03,overcast clouds
196,Belyy Yar,RU,53.6039,91.3903,30.09,74,83,0.0,broken clouds
197,Luderitz,NA,-26.6481,15.1594,63.59,61,0,6.73,clear sky
198,Bubaque,GW,11.2833,-15.8333,78.85,68,1,11.54,clear sky
199,Torbay,CA,47.6666,-52.7314,43.75,92,100,4.61,light rain
200,Nouakchott,MR,18.0858,-15.9785,69.73,67,0,15.5,clear sky
201,Tingi,TZ,-11.3,35.0333,59.34,89,15,2.91,few clouds
202,Dakar,SN,14.6937,-17.4441,72.48,94,0,13.8,clear sky
203,Ortakoy,TR,38.7373,34.0387,43.05,86,67,6.76,broken clouds
204,Japura,ID,-0.3167,102.35,74.1,95,100,2.19,overcast clouds
205,Chimbote,PE,-9.0853,-78.5783,66.76,83,28,8.3,scattered clouds
206,Jumla,NP,29.2747,82.1838,53.89,90,86,1.3,overcast clouds
207,Saldanha,ZA,-33.0117,17.9442,55.45,95,41,6.76,scattered clouds
208,Codrington,AU,-38.2667,141.9667,47.05,87,52,4.03,broken clouds
209,Verkhoyansk,RU,67.5447,133.385,26.24,92,100,3.44,overcast clouds
210,Flinders,AU,-34.5833,150.8552,55.38,64,0,5.99,clear sky
211,Ongandjera,NA,-17.8833,15.0667,68.7,33,0,7.83,clear sky
212,Kulhudhuffushi,MV,6.6221,73.07,82.72,75,100,8.05,heavy intensity rain
213,Cidreira,BR,-30.1811,-50.2056,64.15,70,46,7.36,scattered clouds
214,Geraldton,AU,-28.7667,114.6,57.61,47,0,16.11,clear sky
215,Jamame,SO,0.0722,42.7506,76.17,93,76,5.66,broken clouds
216,Te Anau,NZ,-45.4167,167.7167,54.75,84,36,1.57,scattered clouds
217,Saint George,US,37.1041,-113.5841,88.63,14,0,11.5,clear sky
218,Uong Bi,VN,21.0333,106.7833,73.38,78,6,1.72,clear sky
219,Gat,IL,31.61,34.7642,63.28,100,56,14.67,broken clouds
220,Hutang,CN,31.5333,119.4833,61.68,94,0,4.47,clear sky
221,Tabas,IR,33.5959,56.9244,84.42,17,99,9.22,overcast clouds
222,Itoman,JP,26.1247,127.6694,73.42,96,75,4.61,broken clouds
223,Wanning,CN,18.8003,110.3967,76.46,91,80,4.12,broken clouds
224,Namibe,AO,-15.1961,12.1522,78.94,52,3,2.3,clear sky
225,Lebu,CL,-37.6167,-73.65,55.29,80,34,5.68,scattered clouds
226,Yarada,IN,17.65,83.2667,80.92,78,75,2.3,mist
227,Huarmey,PE,-10.0681,-78.1522,69.21,79,54,9.75,broken clouds
228,Kaitangata,NZ,-46.2817,169.8464,57.15,72,91,3.31,overcast clouds
229,Salamiyah,SY,35.0113,37.0532,55.0,81,57,15.93,broken clouds
230,Ituporanga,BR,-27.4144,-49.6025,58.06,87,0,2.37,clear sky
231,Lorengau,PG,-2.0226,147.2712,83.23,78,61,5.46,broken clouds
232,Mehamn,NO,71.0357,27.8492,32.95,91,100,11.45,light snow
233,Fukue,JP,32.6881,128.8419,65.25,86,79,13.85,broken clouds
234,Tchollire,CM,8.4022,14.1698,80.42,57,100,2.1,overcast clouds
235,Castro,BR,-24.7911,-50.0119,58.78,87,87,3.04,overcast clouds
236,Santa Cruz,BO,-17.8,-63.1667,73.45,40,0,3.44,clear sky
237,Sept-Iles,CA,50.2001,-66.3821,44.06,44,20,17.27,few clouds
238,Gobabis,NA,-22.45,18.9667,58.39,39,0,10.76,clear sky
239,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,40,6.91,scattered clouds
240,Kuching,MY,1.55,110.3333,77.22,94,20,2.3,few clouds
241,Sorong,ID,-0.8833,131.25,79.2,85,91,5.1,overcast clouds
242,Butka,RU,56.7179,63.7866,42.78,83,99,9.89,light rain
243,Naze,JP,28.3667,129.4833,67.12,93,100,7.09,overcast clouds
244,Batemans Bay,AU,-35.7167,150.1833,47.35,70,0,5.97,clear sky
245,Cabo San Lucas,MX,22.8909,-109.9124,83.61,53,0,8.05,clear sky
246,Coquimbo,CL,-29.9533,-71.3436,59.16,83,91,6.08,overcast clouds
247,Verkhniy Mamon,RU,50.1635,40.3832,41.22,64,95,9.33,overcast clouds
248,Georgetown,MY,5.4112,100.3354,82.33,92,20,3.44,few clouds
