Hotels2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Sikonge,TZ,65.7,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
260,Garowe,SO,83.05,clear sky,8.4054,48.4845,Curubo Hotel
262,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Fengshui Residence
263,Brainerd,US,66.49,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
264,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
266,Tabora,TZ,69.01,overcast clouds,-5.0167,32.8,Barcelona Lodge
269,Boca Do Acre,BR,79.84,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
270,Mahibadhoo,MV,82.56,overcast clouds,3.7833,72.9667,Omadhoo Inn
271,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
277,Sinnamary,GF,78.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
279,Dingle,PH,77.94,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Trinidad,BO,80.58,clear sky,-14.8333,-64.9,Hotel Piesta
283,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
285,Masallatah,LY,74.35,broken clouds,32.6167,14.0,Mustafa Taher Sowaidan
286,Camana,PE,69.26,clear sky,-16.6228,-72.7111,Hostal Morales
288,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
289,Port Blair,IN,82.54,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
292,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
293,Qom,IR,67.1,scattered clouds,34.6401,50.8764,Qom Hotel
295,San Patricio,US,89.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Bowen,AU,73.36,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
298,Gamba,GA,78.15,overcast clouds,-2.65,10.0,
300,Soyo,AO,78.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
301,Tezu,IN,69.13,clear sky,27.9167,96.1667,Circuit House
302,Palmer,US,69.66,broken clouds,42.1584,-72.3287,Wedgewood Motel
304,Lagunas,PE,75.87,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
305,Mana,GF,78.31,overcast clouds,5.6592,-53.7767,LE SAMANA
306,Iracoubo,GF,78.66,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
307,Bacalar,MX,87.91,scattered clouds,18.6667,-88.3833,Hotel Laguna Bacalar
309,Bolec,RS,61.52,light rain,44.7247,20.6033,Hotel Hedonic
310,Athabasca,CA,68.41,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
311,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
315,Port Hueneme,US,84.06,broken clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
318,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
319,Concordia,AR,63.79,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
322,Kaeo,NZ,64.33,broken clouds,-35.1,173.7833,Bushido Lodge
323,Rabo De Peixe,PT,66.27,scattered clouds,37.8,-25.5833,Quinta das Giestas
324,Alugan,PH,80.69,overcast clouds,12.2188,125.4808,JM Lodge
325,Windsor,CA,61.14,few clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
