Hotels2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Galveston,US,87.91,overcast clouds,29.3669,-94.9669,Crystal Suites
583,Carbondale,US,65.05,broken clouds,37.7273,-89.2168,Best Western Saluki Inn
585,Labuhan,ID,77.85,few clouds,-6.8844,112.2051,DoubleFAG
586,Sechura,PE,71.69,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
587,Itirucu,BR,67.26,scattered clouds,-13.5317,-40.1503,Casa Amarela
590,Trairi,BR,77.14,broken clouds,-3.2778,-39.2689,janelas do mar
591,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
592,Matara,LK,79.09,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
593,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
594,Sangueya,GN,79.32,clear sky,10.7,-14.3667,
595,Bria,CF,72.41,overcast clouds,6.5423,21.9863,WFP Guesthouse
596,Puerto Ayacucho,VE,77.81,light rain,5.6639,-67.6236,Posada Turistica Manapiare
598,Seydi,TM,74.95,clear sky,39.4816,62.9137,Seydi oteli
599,Manicore,BR,74.91,broken clouds,-5.8092,-61.3003,Hotel Durval
601,Meadow Lake,US,78.73,clear sky,34.8014,-106.5436,TumbleWeed RV Park
602,Xuddur,SO,74.59,few clouds,4.1213,43.8894,Banjanay Hotel
603,Saint-Pierre,RE,74.88,few clouds,-21.3393,55.4781,Alize Plage
606,Sembe,CG,71.55,moderate rain,1.6481,14.5806,
608,Monywa,MM,80.67,scattered clouds,22.1167,95.1333,Monywa Hotel
609,Tautira,PF,81.21,light rain,-17.7333,-149.15,Pension Oaoa
611,Cagliliog,PH,81.19,broken clouds,13.9016,123.2913,Cagliliog Labog Beach
612,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
613,Lethem,GY,82.42,broken clouds,3.3803,-59.7968,Savannah Inn
614,Kang,BW,61.86,clear sky,-23.6752,22.7876,Kang Ultra Stop
615,Bouna,CI,81.82,overcast clouds,9.2667,-3.0,Hôtel lababa
618,Bulalacao,PH,82.56,scattered clouds,12.3254,121.3435,By The Sea Hotels
619,Popondetta,PG,82.44,broken clouds,-8.7537,148.2534,Timos Transit House
620,Takoradi,GH,80.91,scattered clouds,4.8845,-1.7554,Raybow International Hotel
621,Uige,AO,68.58,broken clouds,-7.6087,15.0613,Hotel Catraio
622,Mandera,KE,79.97,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
624,Ferkessedougou,CI,83.12,scattered clouds,9.6,-5.2,Hotel Chateau
626,Svay Rieng,KH,78.96,overcast clouds,11.0879,105.7993,Apsara guesthouse
627,Zaranj,AF,81.64,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
631,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
633,Khandbari,NP,68.67,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
636,Jalu,LY,72.1,few clouds,29.0331,21.5482,صاحبة الفخامة
638,Ambilobe,MG,70.16,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
639,Kande,TG,78.93,overcast clouds,9.9578,1.0447,
640,Palmas Bellas,PA,79.0,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
641,Moindou,NC,77.16,clear sky,-21.6924,165.677,Equi-lodge de Moindou
642,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
646,Sabang,ID,81.93,light rain,5.8933,95.3214,Hotel Citra
647,Hualmay,PE,65.75,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
648,Porto Murtinho,BR,66.69,clear sky,-21.6989,-57.8825,Hotel Pantanal
649,Conselheiro Lafaiete,BR,60.93,broken clouds,-20.6603,-43.7861,Hotel Meri
650,Barra Do Garcas,BR,73.18,clear sky,-15.89,-52.2567,Pousada Tropical
654,Flic En Flac,MU,76.51,scattered clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
656,Cairns,AU,79.07,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
657,Espanola,US,76.71,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
658,Vostok,RU,61.23,overcast clouds,46.4856,135.8833,
659,Caldwell,US,71.74,overcast clouds,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
660,Salinopolis,BR,78.67,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
662,Maningrida,AU,79.59,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
663,Hobyo,SO,82.8,clear sky,5.3505,48.5268,Iftin hotel hobyo
664,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
665,Victoria Point,AU,71.91,light rain,-27.5833,153.3,Bay Retreat Motel
667,Tabou,CI,80.92,broken clouds,4.423,-7.3528,hotêl doufoulougou
669,Chapada Dos Guimaraes,BR,64.06,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
670,Jatai,BR,64.11,clear sky,-17.8814,-51.7144,Hotel Califórnia
671,Bar Harbor,US,62.74,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
672,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
673,Livingstone,ZM,60.6,few clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
674,Kalabo,ZM,66.4,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
675,Leticia,CO,78.85,scattered clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
679,Blackfoot,US,70.05,overcast clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
680,Palu,ID,78.69,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
682,Bengbu,CN,66.94,few clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
