City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,141,Jiuquan,CN,39.7432,98.5174,55.49,29,80,4.65,broken clouds
142,142,Texarkana,US,33.4251,-94.0477,68.23,91,40,18.01,scattered clouds
143,143,Tura,IN,25.5198,90.2201,68.59,91,2,3.71,clear sky
148,148,Balabac,PH,7.9868,117.0645,82.51,81,76,12.59,broken clouds
150,150,Mackay,AU,-21.15,149.2,76.68,89,21,4.65,few clouds
151,151,Pangkalanbuun,ID,-2.6833,111.6167,73.44,98,40,1.81,scattered clouds
152,152,Bayir,TR,37.2687,28.2167,59.52,57,0,7.14,clear sky
153,153,Stephanskirchen,DE,47.8595,12.1528,57.43,77,100,2.35,light rain
154,154,Buala,SB,-8.145,159.5921,83.98,71,32,7.02,scattered clouds
155,155,Dali,CN,25.7,100.1833,56.41,82,64,2.26,broken clouds
156,156,Faya,SA,18.3851,42.4509,68.11,38,53,3.2,broken clouds
159,159,Victoria,HK,22.2855,114.1577,77.18,82,9,5.99,clear sky
161,161,Panama City,PA,8.9936,-79.5197,80.17,90,75,6.91,broken clouds
162,162,Shahrud,IR,36.4182,54.9763,65.52,45,100,5.19,overcast clouds
163,163,Fare,PF,-16.7,-151.0167,81.43,75,30,8.19,scattered clouds
166,166,Bud,US,39.447,-86.1758,57.74,96,100,11.34,overcast clouds
167,167,Salinas,US,36.6777,-121.6555,79.0,54,0,11.5,clear sky
168,168,Tambura,SS,5.6,27.4667,72.59,80,99,1.1,overcast clouds
170,170,Dallas,US,32.7668,-96.7836,78.69,65,20,19.57,few clouds
171,171,Guerrero Negro,MX,27.9769,-114.0611,70.54,59,3,16.51,clear sky
172,172,Amahai,ID,-3.3333,128.9167,79.11,86,99,3.49,overcast clouds
173,173,Hamilton,US,39.1834,-84.5333,61.43,89,100,8.05,moderate rain
174,174,Korem,ET,12.5058,39.5228,59.22,39,10,2.77,clear sky
177,177,Avarua,CK,-21.2078,-159.775,82.45,74,40,5.75,scattered clouds
178,178,Hambantota,LK,6.1241,81.1185,80.94,82,97,16.33,overcast clouds
179,179,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.28,83,60,3.6,broken clouds
180,180,San Francisco,US,37.7749,-122.4194,75.47,58,100,12.66,overcast clouds
181,181,Thunder Bay,CA,48.4001,-89.3168,51.78,43,20,12.66,few clouds
182,182,Waddan,LY,29.1614,16.139,78.82,13,2,19.77,clear sky
184,184,Payo,ID,-3.7508,103.6372,72.41,98,74,1.99,broken clouds
185,185,Pisco,PE,-13.7,-76.2167,68.05,77,0,19.57,clear sky
186,186,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,81,100,13.82,overcast clouds
187,187,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,20,17.27,few clouds
189,189,Ketchikan,US,55.3422,-131.6461,50.47,57,40,3.44,scattered clouds
190,190,Hasaki,JP,35.7333,140.8333,66.29,72,100,9.26,overcast clouds
191,191,Juba,SS,4.8517,31.5825,76.5,67,44,4.43,scattered clouds
192,192,San Quintin,MX,30.4833,-115.95,67.89,68,1,15.48,clear sky
198,198,Bubaque,GW,11.2833,-15.8333,78.85,68,1,11.54,clear sky
200,200,Nouakchott,MR,18.0858,-15.9785,69.73,67,0,15.5,clear sky
201,201,Tingi,TZ,-11.3,35.0333,59.34,89,15,2.91,few clouds
202,202,Dakar,SN,14.6937,-17.4441,72.48,94,0,13.8,clear sky
204,204,Japura,ID,-0.3167,102.35,74.1,95,100,2.19,overcast clouds
205,205,Chimbote,PE,-9.0853,-78.5783,66.76,83,28,8.3,scattered clouds
206,206,Jumla,NP,29.2747,82.1838,53.89,90,86,1.3,overcast clouds
207,207,Saldanha,ZA,-33.0117,17.9442,55.45,95,41,6.76,scattered clouds
210,210,Flinders,AU,-34.5833,150.8552,55.38,64,0,5.99,clear sky
